room_cnt,day_of_week,day_of_year,weather,scaled_room_id,isEvent,eventName
1,2,1,0.5,0.982,0,
3,2,1,0.5,0.038,0,
4,2,1,0.5,1.0,0,
11,2,1,0.5,0.241,0,
3,2,1,0.5,0.011,0,
4,3,2,0.5,1.0,0,
2,4,3,0.5,0.982,0,
6,4,3,0.5,0.337,0,
1,4,3,0.5,0.038,0,
7,4,3,0.5,1.0,0,
1,4,3,0.5,0.241,0,
3,5,4,1.0,0.982,0,
5,5,4,1.0,0.337,0,
1,5,4,1.0,0.038,0,
4,5,4,1.0,1.0,0,
6,5,4,1.0,0.241,0,
1,5,4,1.0,0.011,0,
2,6,5,0.0,0.982,0,
3,6,5,0.0,0.337,0,
4,6,5,0.0,1.0,0,
1,6,5,0.0,0.241,0,
3,7,6,0.0,0.982,1,Bogojavljenje\
1,7,6,0.0,0.337,1,Bogojavljenje\
5,7,6,0.0,1.0,1,Bogojavljenje\
2,1,7,0.0,0.982,1,Bogojavljenje\
2,1,7,0.0,0.337,1,Bogojavljenje\
4,1,7,0.0,1.0,1,Bogojavljenje\
2,1,7,0.0,0.241,1,Bogojavljenje\
1,1,7,0.0,0.002,1,Bogojavljenje\
15,2,8,0.0,0.982,0,
4,2,8,0.0,0.337,0,
2,2,8,0.0,1.0,0,
1,2,8,0.0,0.011,0,
1,2,8,0.0,0.002,0,
18,3,9,1.0,0.982,0,
19,3,9,1.0,0.337,0,
6,3,9,1.0,1.0,0,
3,3,9,1.0,0.241,0,
18,4,10,1.0,0.982,0,
27,4,10,1.0,0.337,0,
8,4,10,1.0,1.0,0,
2,4,10,1.0,0.241,0,
21,5,11,0.0,0.982,0,
14,5,11,0.0,0.337,0,
8,5,11,0.0,1.0,0,
3,5,11,0.0,0.241,0,
6,6,12,0.0,0.982,0,
8,6,12,0.0,0.337,0,
1,6,12,0.0,0.038,0,
4,6,12,0.0,1.0,0,
4,6,12,0.0,0.241,0,
2,7,13,0.0,0.982,0,
3,7,13,0.0,0.337,0,
1,7,13,0.0,0.038,0,
6,7,13,0.0,1.0,0,
4,7,13,0.0,0.241,0,
2,7,13,0.0,0.011,0,
5,1,14,0.0,0.982,0,
14,1,14,0.0,0.337,0,
1,1,14,0.0,0.038,0,
4,1,14,0.0,1.0,0,
1,1,14,0.0,0.011,0,
13,2,15,0.0,0.982,0,
19,2,15,0.0,0.337,0,
1,2,15,0.0,0.038,0,
3,2,15,0.0,1.0,0,
2,2,15,0.0,0.241,0,
1,2,15,0.0,0.011,0,
19,3,16,0.0,0.982,0,
17,3,16,0.0,0.337,0,
2,3,16,0.0,0.038,0,
4,3,16,0.0,1.0,0,
4,3,16,0.0,0.241,0,
2,3,16,0.0,0.011,0,
28,4,17,0.0,0.982,1,Rijecki karneval\
13,4,17,0.0,0.337,1,Rijecki karneval\
2,4,17,0.0,0.038,1,Rijecki karneval\
4,4,17,0.0,1.0,1,Rijecki karneval\
2,4,17,0.0,0.241,1,Rijecki karneval\
3,4,17,0.0,0.011,1,Rijecki karneval\
23,5,18,0.0,0.982,1,Rijecki karneval\
17,5,18,0.0,0.337,1,Rijecki karneval\
2,5,18,0.0,0.038,1,Rijecki karneval\
6,5,18,0.0,1.0,1,Rijecki karneval\
2,5,18,0.0,0.241,1,Rijecki karneval\
2,5,18,0.0,0.011,1,Rijecki karneval\
14,6,19,0.0,0.982,1,Rijecki karneval\
11,6,19,0.0,0.337,1,Rijecki karneval\
2,6,19,0.0,0.038,1,Rijecki karneval\
5,6,19,0.0,1.0,1,Rijecki karneval\
4,6,19,0.0,0.241,1,Rijecki karneval\
2,6,19,0.0,0.011,1,Rijecki karneval\
9,7,20,1.0,0.982,1,Rijecki karneval\
5,7,20,1.0,0.337,1,Rijecki karneval\
1,7,20,1.0,0.038,1,Rijecki karneval\
7,7,20,1.0,1.0,1,Rijecki karneval\
5,7,20,1.0,0.241,1,Rijecki karneval\
3,7,20,1.0,0.011,1,Rijecki karneval\
12,1,21,1.0,0.982,1,Rijecki karneval\
10,1,21,1.0,0.337,1,Rijecki karneval\
4,1,21,1.0,1.0,1,Rijecki karneval\
6,1,21,1.0,0.241,1,Rijecki karneval\
1,1,21,1.0,0.011,1,Rijecki karneval\
15,2,22,0.0,0.982,1,Rijecki karneval\
27,2,22,0.0,0.337,1,Rijecki karneval\
4,2,22,0.0,1.0,1,Rijecki karneval\
2,2,22,0.0,0.241,1,Rijecki karneval\
14,3,23,0.0,0.982,1,Rijecki karneval\
17,3,23,0.0,0.337,1,Rijecki karneval\
8,3,23,0.0,1.0,1,Rijecki karneval\
6,3,23,0.0,0.241,1,Rijecki karneval\
2,3,23,0.0,0.011,1,Rijecki karneval\
20,4,24,1.0,0.982,2,Rijecki karneval\Tempus JEP Project Conference\
26,4,24,1.0,0.337,2,Rijecki karneval\Tempus JEP Project Conference\
4,4,24,1.0,1.0,2,Rijecki karneval\Tempus JEP Project Conference\
2,4,24,1.0,0.011,2,Rijecki karneval\Tempus JEP Project Conference\
10,5,25,1.0,0.982,2,Rijecki karneval\Tempus JEP Project Conference\
2,5,25,1.0,0.337,2,Rijecki karneval\Tempus JEP Project Conference\
1,5,25,1.0,1.0,2,Rijecki karneval\Tempus JEP Project Conference\
1,5,25,1.0,0.011,2,Rijecki karneval\Tempus JEP Project Conference\
7,6,26,1.0,0.982,1,Rijecki karneval\
3,6,26,1.0,0.337,1,Rijecki karneval\
1,6,26,1.0,1.0,1,Rijecki karneval\
1,6,26,1.0,0.011,1,Rijecki karneval\
5,7,27,1.0,0.982,1,Rijecki karneval\
1,7,27,1.0,0.337,1,Rijecki karneval\
1,7,27,1.0,0.038,1,Rijecki karneval\
3,7,27,1.0,1.0,1,Rijecki karneval\
2,7,27,1.0,0.241,1,Rijecki karneval\
8,1,28,1.0,0.982,1,Rijecki karneval\
3,1,28,1.0,0.337,1,Rijecki karneval\
3,1,28,1.0,1.0,1,Rijecki karneval\
3,1,28,1.0,0.241,1,Rijecki karneval\
19,2,29,1.0,0.982,1,Rijecki karneval\
24,2,29,1.0,0.337,1,Rijecki karneval\
13,2,29,1.0,1.0,1,Rijecki karneval\
2,2,29,1.0,0.241,1,Rijecki karneval\
9,3,30,0.0,0.982,1,Rijecki karneval\
22,3,30,0.0,0.337,1,Rijecki karneval\
9,3,30,0.0,1.0,1,Rijecki karneval\
8,3,30,0.0,0.241,1,Rijecki karneval\
24,4,31,0.0,0.982,1,Rijecki karneval\
33,4,31,0.0,0.337,1,Rijecki karneval\
8,4,31,0.0,1.0,1,Rijecki karneval\
11,4,31,0.0,0.241,1,Rijecki karneval\
1,4,31,0.0,0.011,1,Rijecki karneval\
2,4,31,0.0,0.002,1,Rijecki karneval\
16,5,32,1.0,0.982,1,Rijecki karneval\
20,5,32,1.0,0.337,1,Rijecki karneval\
20,5,32,1.0,1.0,1,Rijecki karneval\
6,5,32,1.0,0.241,1,Rijecki karneval\
11,6,33,0.0,0.982,1,Rijecki karneval\
13,6,33,0.0,0.337,1,Rijecki karneval\
1,6,33,0.0,0.038,1,Rijecki karneval\
27,6,33,0.0,1.0,1,Rijecki karneval\
4,6,33,0.0,0.241,1,Rijecki karneval\
7,7,34,0.0,0.982,1,Rijecki karneval\
15,7,34,0.0,0.337,1,Rijecki karneval\
2,7,34,0.0,0.038,1,Rijecki karneval\
78,7,34,0.0,1.0,1,Rijecki karneval\
4,7,34,0.0,0.241,1,Rijecki karneval\
2,7,34,0.0,0.002,1,Rijecki karneval\
11,1,35,0.0,0.982,1,Rijecki karneval\
13,1,35,0.0,0.337,1,Rijecki karneval\
3,1,35,0.0,0.038,1,Rijecki karneval\
36,1,35,0.0,1.0,1,Rijecki karneval\
6,1,35,0.0,0.241,1,Rijecki karneval\
2,1,35,0.0,0.002,1,Rijecki karneval\
23,2,36,0.0,0.982,1,Rijecki karneval\
17,2,36,0.0,0.337,1,Rijecki karneval\
14,2,36,0.0,1.0,1,Rijecki karneval\
2,2,36,0.0,0.241,1,Rijecki karneval\
16,3,37,1.0,0.982,0,
32,3,37,1.0,0.337,0,
5,3,37,1.0,0.038,0,
9,3,37,1.0,1.0,0,
20,4,38,1.0,0.982,0,
38,4,38,1.0,0.337,0,
4,4,38,1.0,0.038,0,
2,4,38,1.0,1.0,0,
1,4,38,1.0,0.011,0,
24,5,39,1.0,0.982,0,
38,5,39,1.0,0.337,0,
2,5,39,1.0,1.0,0,
15,6,40,1.0,0.982,0,
15,6,40,1.0,0.337,0,
1,6,40,1.0,0.038,0,
1,6,40,1.0,1.0,0,
3,6,40,1.0,0.241,0,
11,7,41,1.0,0.982,0,
11,7,41,1.0,0.337,0,
2,7,41,1.0,0.038,0,
5,7,41,1.0,0.241,0,
13,1,42,1.0,0.982,0,
17,1,42,1.0,0.337,0,
3,1,42,1.0,1.0,0,
3,1,42,1.0,0.241,0,
1,1,42,1.0,0.002,0,
23,2,43,1.0,0.982,0,
32,2,43,1.0,0.337,0,
9,2,43,1.0,1.0,0,
1,2,43,1.0,0.241,0,
21,3,44,1.0,0.982,0,
27,3,44,1.0,0.337,0,
3,3,44,1.0,0.038,0,
7,3,44,1.0,1.0,0,
4,3,44,1.0,0.241,0,
21,4,45,1.0,0.982,0,
41,4,45,1.0,0.337,0,
1,4,45,1.0,0.038,0,
9,4,45,1.0,1.0,0,
2,4,45,1.0,0.241,0,
13,5,46,1.0,0.982,0,
28,5,46,1.0,0.337,0,
2,5,46,1.0,0.038,0,
6,5,46,1.0,1.0,0,
2,5,46,1.0,0.241,0,
5,6,47,1.0,0.982,0,
24,6,47,1.0,0.337,0,
2,6,47,1.0,0.038,0,
3,6,47,1.0,1.0,0,
8,6,47,1.0,0.241,0,
6,7,48,1.0,0.982,0,
7,7,48,1.0,0.337,0,
1,7,48,1.0,0.038,0,
5,7,48,1.0,1.0,0,
3,7,48,1.0,0.241,0,
9,1,49,1.0,0.982,0,
13,1,49,1.0,0.337,0,
7,1,49,1.0,1.0,0,
1,1,49,1.0,0.002,0,
15,2,50,1.0,0.982,0,
27,2,50,1.0,0.337,0,
6,2,50,1.0,1.0,0,
3,2,50,1.0,0.241,0,
8,3,51,1.0,0.982,0,
21,3,51,1.0,0.337,0,
1,3,51,1.0,0.038,0,
5,3,51,1.0,1.0,0,
13,3,51,1.0,0.241,0,
1,3,51,1.0,0.011,0,
10,4,52,1.0,0.982,0,
24,4,52,1.0,0.337,0,
9,4,52,1.0,1.0,0,
2,4,52,1.0,0.241,0,
4,4,52,1.0,0.011,0,
12,5,53,1.0,0.982,0,
23,5,53,1.0,0.337,0,
2,5,53,1.0,0.038,0,
13,5,53,1.0,1.0,0,
3,5,53,1.0,0.241,0,
14,6,54,1.0,0.982,0,
19,6,54,1.0,0.337,0,
11,6,54,1.0,1.0,0,
5,6,54,1.0,0.241,0,
8,7,55,1.0,0.982,0,
21,7,55,1.0,0.337,0,
3,7,55,1.0,0.038,0,
3,7,55,1.0,1.0,0,
2,7,55,1.0,0.241,0,
11,1,56,1.0,0.982,0,
5,1,56,1.0,0.337,0,
6,1,56,1.0,1.0,0,
1,1,56,1.0,0.241,0,
10,2,57,1.0,0.982,0,
13,2,57,1.0,0.337,0,
12,2,57,1.0,1.0,0,
6,2,57,1.0,0.241,0,
20,3,58,0.0,0.982,0,
9,3,58,0.0,0.337,0,
16,3,58,0.0,1.0,0,
11,3,58,0.0,0.241,0,
26,4,59,1.0,0.982,0,
6,4,59,1.0,0.337,0,
15,4,59,1.0,1.0,0,
2,4,59,1.0,0.241,0,
1,4,59,1.0,0.011,0,
14,5,60,1.0,0.982,0,
13,5,60,1.0,0.337,0,
1,5,60,1.0,0.038,0,
8,5,60,1.0,1.0,0,
3,5,60,1.0,0.241,0,
10,6,61,0.0,0.982,0,
7,6,61,0.0,0.337,0,
1,6,61,0.0,0.038,0,
31,6,61,0.0,1.0,0,
3,6,61,0.0,0.241,0,
27,7,62,1.0,0.982,0,
3,7,62,1.0,0.337,0,
1,7,62,1.0,0.038,0,
29,7,62,1.0,1.0,0,
2,7,62,1.0,0.241,0,
5,1,63,1.0,0.982,0,
5,1,63,1.0,0.337,0,
1,1,63,1.0,0.038,0,
10,1,63,1.0,1.0,0,
3,1,63,1.0,0.241,0,
9,2,64,0.0,0.982,0,
17,2,64,0.0,0.337,0,
3,2,64,0.0,0.038,0,
11,2,64,0.0,1.0,0,
5,2,64,0.0,0.241,0,
13,3,65,0.0,0.982,0,
18,3,65,0.0,0.337,0,
2,3,65,0.0,0.038,0,
5,3,65,0.0,1.0,0,
7,3,65,0.0,0.241,0,
13,4,66,1.0,0.982,0,
33,4,66,1.0,0.337,0,
4,4,66,1.0,0.038,0,
12,4,66,1.0,1.0,0,
5,4,66,1.0,0.241,0,
5,5,67,0.0,0.982,0,
38,5,67,0.0,0.337,0,
2,5,67,0.0,0.038,0,
15,5,67,0.0,1.0,0,
2,5,67,0.0,0.241,0,
5,6,68,0.0,0.982,0,
16,6,68,0.0,0.337,0,
1,6,68,0.0,0.038,0,
6,6,68,0.0,1.0,0,
4,6,68,0.0,0.241,0,
1,6,68,0.0,0.011,0,
3,7,69,0.0,0.982,0,
13,7,69,0.0,0.337,0,
2,7,69,0.0,0.038,0,
12,7,69,0.0,1.0,0,
3,7,69,0.0,0.241,0,
1,7,69,0.0,0.011,0,
3,1,70,0.0,0.982,0,
16,1,70,0.0,0.337,0,
1,1,70,0.0,0.038,0,
5,1,70,0.0,1.0,0,
2,1,70,0.0,0.241,0,
1,1,70,0.0,0.011,0,
11,2,71,0.0,0.982,0,
29,2,71,0.0,0.337,0,
3,2,71,0.0,0.038,0,
6,2,71,0.0,1.0,0,
5,2,71,0.0,0.241,0,
1,2,71,0.0,0.011,0,
14,3,72,1.0,0.982,0,
32,3,72,1.0,0.337,0,
4,3,72,1.0,0.038,0,
17,3,72,1.0,1.0,0,
5,3,72,1.0,0.241,0,
1,3,72,1.0,0.011,0,
13,4,73,0.0,0.982,0,
45,4,73,0.0,0.337,0,
4,4,73,0.0,0.038,0,
12,4,73,0.0,1.0,0,
10,4,73,0.0,0.241,0,
1,4,73,0.0,0.011,0,
20,5,74,1.0,0.982,0,
27,5,74,1.0,0.337,0,
3,5,74,1.0,0.038,0,
13,5,74,1.0,1.0,0,
4,5,74,1.0,0.241,0,
2,5,74,1.0,0.011,0,
10,6,75,1.0,0.982,0,
17,6,75,1.0,0.337,0,
2,6,75,1.0,0.038,0,
9,6,75,1.0,1.0,0,
15,6,75,1.0,0.241,0,
2,6,75,1.0,0.011,0,
30,7,76,0.0,0.982,0,
11,7,76,0.0,0.337,0,
2,7,76,0.0,0.038,0,
8,7,76,0.0,1.0,0,
1,7,76,0.0,0.241,0,
1,7,76,0.0,0.011,0,
6,1,77,0.0,0.982,0,
11,1,77,0.0,0.337,0,
1,1,77,0.0,0.038,0,
6,1,77,0.0,1.0,0,
1,1,77,0.0,0.241,0,
1,1,77,0.0,0.002,0,
9,2,78,0.0,0.982,0,
27,2,78,0.0,0.337,0,
2,2,78,0.0,0.038,0,
5,2,78,0.0,1.0,0,
2,2,78,0.0,0.241,0,
14,3,79,0.5,0.982,0,
31,3,79,0.5,0.337,0,
2,3,79,0.5,0.038,0,
13,3,79,0.5,1.0,0,
1,3,79,0.5,0.241,0,
20,4,80,1.0,0.982,0,
29,4,80,1.0,0.337,0,
2,4,80,1.0,0.038,0,
18,4,80,1.0,1.0,0,
5,4,80,1.0,0.241,0,
10,5,81,1.0,0.982,0,
16,5,81,1.0,0.337,0,
3,5,81,1.0,0.038,0,
10,5,81,1.0,1.0,0,
3,5,81,1.0,0.241,0,
1,6,82,0.0,0.001,0,
4,6,82,0.0,0.982,0,
6,6,82,0.0,0.337,0,
1,6,82,0.0,0.038,0,
15,6,82,0.0,1.0,0,
3,6,82,0.0,0.241,0,
1,6,82,0.0,0.011,0,
4,7,83,0.0,0.982,1,Uskrs\
5,7,83,0.0,0.337,1,Uskrs\
1,7,83,0.0,0.038,1,Uskrs\
6,7,83,0.0,1.0,1,Uskrs\
3,7,83,0.0,0.241,1,Uskrs\
3,1,84,0.0,0.982,1,Uskrs\
5,1,84,0.0,0.337,1,Uskrs\
1,1,84,0.0,0.038,1,Uskrs\
4,1,84,0.0,1.0,1,Uskrs\
6,1,84,0.0,0.241,1,Uskrs\
10,2,85,0.5,0.982,1,Uskrs\
5,2,85,0.5,0.337,1,Uskrs\
1,2,85,0.5,0.038,1,Uskrs\
3,2,85,0.5,1.0,1,Uskrs\
24,3,86,0.0,0.982,1,Uskrs\
17,3,86,0.0,0.337,1,Uskrs\
1,3,86,0.0,0.038,1,Uskrs\
22,3,86,0.0,1.0,1,Uskrs\
2,3,86,0.0,0.241,1,Uskrs\
20,4,87,0.0,0.982,0,
32,4,87,0.0,0.337,0,
3,4,87,0.0,0.038,0,
12,4,87,0.0,1.0,0,
3,4,87,0.0,0.241,0,
20,5,88,0.0,0.982,0,
26,5,88,0.0,0.337,0,
2,5,88,0.0,0.038,0,
10,5,88,0.0,1.0,0,
2,5,88,0.0,0.241,0,
15,6,89,1.0,0.982,0,
15,6,89,1.0,0.337,0,
1,6,89,1.0,0.038,0,
12,6,89,1.0,1.0,0,
1,6,89,1.0,0.241,0,
8,7,90,0.0,0.982,0,
10,7,90,0.0,0.337,0,
2,7,90,0.0,0.038,0,
6,7,90,0.0,1.0,0,
2,7,90,0.0,0.241,0,
1,7,90,0.0,0.002,0,
14,1,91,1.0,0.982,0,
28,1,91,1.0,0.337,0,
1,1,91,1.0,0.038,0,
16,1,91,1.0,1.0,0,
2,1,91,1.0,0.241,0,
27,2,92,1.0,0.982,0,
31,2,92,1.0,0.337,0,
1,2,92,1.0,0.038,0,
15,2,92,1.0,1.0,0,
1,2,92,1.0,0.241,0,
1,2,92,1.0,0.011,0,
24,3,93,0.0,0.982,0,
28,3,93,0.0,0.337,0,
4,3,93,0.0,0.038,0,
17,3,93,0.0,1.0,0,
7,3,93,0.0,0.241,0,
17,4,94,0.0,0.982,0,
37,4,94,0.0,0.337,0,
3,4,94,0.0,0.038,0,
18,4,94,0.0,1.0,0,
5,4,94,0.0,0.241,0,
14,5,95,1.0,0.982,0,
31,5,95,1.0,0.337,0,
3,5,95,1.0,0.038,0,
12,5,95,1.0,1.0,0,
5,5,95,1.0,0.241,0,
34,6,96,1.0,0.982,0,
14,6,96,1.0,0.337,0,
3,6,96,1.0,0.038,0,
14,6,96,1.0,1.0,0,
4,6,96,1.0,0.241,0,
1,7,97,1.0,0.982,0,
8,7,97,1.0,0.337,0,
1,7,97,1.0,0.038,0,
11,7,97,1.0,1.0,0,
5,7,97,1.0,0.241,0,
2,1,98,0.0,0.982,0,
14,1,98,0.0,0.337,0,
11,1,98,0.0,1.0,0,
3,1,98,0.0,0.241,0,
10,2,99,0.0,0.982,0,
29,2,99,0.0,0.337,0,
23,2,99,0.0,1.0,0,
8,2,99,0.0,0.241,0,
23,3,100,0.0,0.982,0,
29,3,100,0.0,0.337,0,
2,3,100,0.0,0.038,0,
11,3,100,0.0,1.0,0,
9,3,100,0.0,0.241,0,
17,4,101,0.0,0.982,0,
35,4,101,0.0,0.337,0,
2,4,101,0.0,0.038,0,
15,4,101,0.0,1.0,0,
2,4,101,0.0,0.241,0,
1,4,101,0.0,0.011,0,
9,5,102,0.0,0.982,0,
54,5,102,0.0,0.337,0,
1,5,102,0.0,0.038,0,
16,5,102,0.0,1.0,0,
18,5,102,0.0,0.241,0,
4,6,103,0.0,0.982,0,
14,6,103,0.0,0.337,0,
15,6,103,0.0,1.0,0,
15,6,103,0.0,0.241,0,
4,7,104,0.0,0.982,0,
14,7,104,0.0,0.337,0,
8,7,104,0.0,1.0,0,
15,7,104,0.0,0.241,0,
8,1,105,1.0,0.982,0,
6,1,105,1.0,0.337,0,
20,1,105,1.0,1.0,0,
3,1,105,1.0,0.241,0,
18,2,106,0.0,0.982,0,
18,2,106,0.0,0.337,0,
3,2,106,0.0,0.038,0,
61,2,106,0.0,1.0,0,
5,2,106,0.0,0.241,0,
20,3,107,0.0,0.982,0,
33,3,107,0.0,0.337,0,
1,3,107,0.0,0.038,0,
49,3,107,0.0,1.0,0,
2,3,107,0.0,0.241,0,
2,3,107,0.0,0.011,0,
14,4,108,0.0,0.982,0,
21,4,108,0.0,0.337,0,
1,4,108,0.0,0.038,0,
35,4,108,0.0,1.0,0,
4,4,108,0.0,0.241,0,
1,4,108,0.0,0.002,0,
21,5,109,0.0,0.982,0,
22,5,109,0.0,0.337,0,
1,5,109,0.0,0.038,0,
25,5,109,0.0,1.0,0,
3,5,109,0.0,0.241,0,
1,5,109,0.0,0.002,0,
8,6,110,0.0,0.982,0,
8,6,110,0.0,0.337,0,
22,6,110,0.0,1.0,0,
4,6,110,0.0,0.241,0,
1,6,110,0.0,0.011,0,
16,7,111,1.0,0.982,0,
5,7,111,1.0,0.337,0,
1,7,111,1.0,0.038,0,
8,7,111,1.0,1.0,0,
2,7,111,1.0,0.241,0,
1,7,111,1.0,0.011,0,
12,1,112,0.0,0.982,0,
5,1,112,0.0,0.337,0,
2,1,112,0.0,0.038,0,
4,1,112,0.0,1.0,0,
1,1,112,0.0,0.241,0,
3,1,112,0.0,0.011,0,
11,2,113,0.0,0.982,0,
19,2,113,0.0,0.337,0,
1,2,113,0.0,0.038,0,
40,2,113,0.0,1.0,0,
8,2,113,0.0,0.241,0,
1,2,113,0.0,0.011,0,
20,3,114,0.0,0.982,0,
22,3,114,0.0,0.337,0,
1,3,114,0.0,0.038,0,
11,3,114,0.0,1.0,0,
2,3,114,0.0,0.241,0,
22,4,115,0.0,0.982,0,
26,4,115,0.0,0.337,0,
3,4,115,0.0,0.038,0,
26,4,115,0.0,1.0,0,
2,4,115,0.0,0.241,0,
18,5,116,0.0,0.982,0,
16,5,116,0.0,0.337,0,
3,5,116,0.0,0.038,0,
17,5,116,0.0,1.0,0,
1,5,116,0.0,0.241,0,
1,6,117,1.0,0.001,0,
9,6,117,1.0,0.982,0,
18,6,117,1.0,0.337,0,
2,6,117,1.0,0.038,0,
67,6,117,1.0,1.0,0,
3,6,117,1.0,0.241,0,
5,7,118,1.0,0.982,0,
30,7,118,1.0,0.337,0,
1,7,118,1.0,0.038,0,
37,7,118,1.0,1.0,0,
10,7,118,1.0,0.241,0,
6,1,119,1.0,0.982,0,
6,1,119,1.0,0.337,0,
38,1,119,1.0,1.0,0,
3,1,119,1.0,0.241,0,
9,2,120,0.0,0.982,0,
9,2,120,0.0,0.337,0,
5,2,120,0.0,0.038,0,
87,2,120,0.0,1.0,0,
1,2,120,0.0,0.011,0,
11,3,121,0.0,0.982,0,
16,3,121,0.0,0.337,0,
2,3,121,0.0,0.038,0,
16,3,121,0.0,1.0,0,
5,3,121,0.0,0.241,0,
1,3,121,0.0,0.011,0,
3,4,122,0.0,0.982,1,Praznik rada\
7,4,122,0.0,0.337,1,Praznik rada\
2,4,122,0.0,0.038,1,Praznik rada\
11,4,122,0.0,1.0,1,Praznik rada\
6,4,122,0.0,0.241,1,Praznik rada\
1,4,122,0.0,0.011,1,Praznik rada\
3,5,123,0.0,0.982,1,Praznik rada\
15,5,123,0.0,0.337,1,Praznik rada\
4,5,123,0.0,0.038,1,Praznik rada\
48,5,123,0.0,1.0,1,Praznik rada\
7,5,123,0.0,0.241,1,Praznik rada\
1,5,123,0.0,0.011,1,Praznik rada\
5,6,124,1.0,0.982,0,
22,6,124,1.0,0.337,0,
7,6,124,1.0,0.038,0,
67,6,124,1.0,1.0,0,
14,6,124,1.0,0.241,0,
4,6,124,1.0,0.011,0,
4,7,125,1.0,0.982,0,
54,7,125,1.0,0.337,0,
6,7,125,1.0,0.038,0,
26,7,125,1.0,1.0,0,
7,7,125,1.0,0.241,0,
1,7,125,1.0,0.011,0,
4,1,126,0.0,0.982,1,Rijeka Open Tennis Tournament\
67,1,126,0.0,0.337,1,Rijeka Open Tennis Tournament\
3,1,126,0.0,0.038,1,Rijeka Open Tennis Tournament\
8,1,126,0.0,1.0,1,Rijeka Open Tennis Tournament\
4,1,126,0.0,0.241,1,Rijeka Open Tennis Tournament\
6,2,127,1.0,0.982,1,Rijeka Open Tennis Tournament\
37,2,127,1.0,0.337,1,Rijeka Open Tennis Tournament\
3,2,127,1.0,0.038,1,Rijeka Open Tennis Tournament\
78,2,127,1.0,1.0,1,Rijeka Open Tennis Tournament\
2,2,127,1.0,0.241,1,Rijeka Open Tennis Tournament\
13,3,128,1.0,0.982,1,Rijeka Open Tennis Tournament\
41,3,128,1.0,0.337,1,Rijeka Open Tennis Tournament\
4,3,128,1.0,0.038,1,Rijeka Open Tennis Tournament\
47,3,128,1.0,1.0,1,Rijeka Open Tennis Tournament\
7,3,128,1.0,0.241,1,Rijeka Open Tennis Tournament\
1,3,128,1.0,0.011,1,Rijeka Open Tennis Tournament\
13,4,129,1.0,0.982,1,Rijeka Open Tennis Tournament\
34,4,129,1.0,0.337,1,Rijeka Open Tennis Tournament\
4,4,129,1.0,0.038,1,Rijeka Open Tennis Tournament\
41,4,129,1.0,1.0,1,Rijeka Open Tennis Tournament\
32,4,129,1.0,0.241,1,Rijeka Open Tennis Tournament\
9,5,130,1.0,0.982,2,Jazz Time Festival\Rijeka Open Tennis Tournament\
